species,replicate,site,tag_ID,d_start,d_end,length_start,new_length,segment,lvs_start_length,lvs_start_count,lvs_finish_length,lvs_end_count,lvs_new,lvs_new_count,,new&shed,80.10%,,mm,leaves,lvs per mm,
BAER,807,Waratah2003,BAER_807,144,211,127,55,N/A - bn 3&4,262,48,237,21,55,,,,,,,,,
BAER,901,Basin1981,BAER_901,233,366,300,138,N/A - above highest cut,430,19,250,,138,,,,0.00%,,,,,
BAER,902,Basin1981,BAER_902,167,298,155,135,5,495,,,53,135,,,,,,,,,
BAER,903,Basin1981,BAER_903,227,318,135,145,6,492,16,,89,120,,,25,,,,,,
BAER,904,Basin1981,BAER_904,163,301,175,135,5,547,,250,65,135,,,,,,,,,
BAER,905,Basin1981,BAER_905,126,169,77,40,n/A above 5,396,,142,,40,,,,,,,,,
BAER,906,Basin1981,BAER_906,176,220,168,147,5,473,,168,15,147,,,,,,,,,
BAER,907,Basin1981,BAER_907,143,321,102,145,5,299,8,160,2,145,,,,,,,,,
BOLE,1,Basin2005,BOLE_001,176,183,178,27,N/A - bn 2&3,,26,,6,,7,,,,,,,,
BOLE,2,Basin2005,BOLE_002,147,159,127,145,2,,8,,4,,12,,,,,,,,
BOLE,3,Basin2005,BOLE_003,206,236,325,8,2,,5,,2,,4,,,,,,,,
BOLE,4,Basin2005,BOLE_004,130,153,189,49,3,,5,,3,,3,,,,,,,,
BOLE,6,Basin2005,BOLE_006,115,172,128,84,2,,7,,0,,12,,,,,,,,
BOLE,7,Basin2005,BOLE_007,150,161,102,28,2,,16,,0,,10,,,,"leaf number approximate, because chose different leader following year; initial diameter also approx",,,,
BOLE,8,Basin2005,BOLE_008,118,149,105,30,3,16,,5,,8,,,,,,,,,
BOLE,101,Waratah2011,BOLE_101,60,167,30,103,1,,10,,0,,22,,,,,,,,
BOLE,105,Waratah2011,BOLE_105,64,488,14,431,1,,6,,0,,75,,,,,,,,
BOLE,110,Waratah2011,BOLE_110,166,259,110,201,1,,18,,5,,19,,,,,,,,
BOLE,111,Waratah2011,BOLE_111,96,188,65,168,1,,14,,5,,26,,,,,,,,
BOLE,112,Waratah2011,BOLE_112,97,186.6666667,90,203,1,,14,,5,,26,,,,,,,,
BOLE,113,Waratah2011,BOLE_113,141,289.6666667,110,388,1,,14,,4,,24,,,,,,,,
BOLE,114,Waratah2011,BOLE_114,108.6666667,298.6666667,105,230,1,,18,,5,,21,,,,,,,,
BOLE,115,Waratah2011,BOLE_115,135.3333333,260.6666667,130,186,1,,20,,7,,20,,,,,,,,
BOLE,116,Waratah2011,BOLE_116,151,294.3333333,230,350,1,,17,,15,,48,,,,,,,,
BOLE,117,Waratah2011,BOLE_117,154.6666667,333.6666667,50,365,2,,30,,15,,46,,,,initial length approximate,,,,
BOLE,119,Waratah2011,BOLE_119,96,353.3333333,65,325,1,,14,,0,,41,,5,,,,,,
BOLE,151,Waratah2011,BOLE_151,163,349,178,365,2,,40,,55,,29,,,,"must be some leaves that grew and shed, because only 12 leaflets on new 135 mm length; also younger leaves are much small (single lobe) than older leaves",,,,
BOLE,152,Waratah2011,BOLE_152,162,332,158,257,2,,38,,6,,8,,2,,,,,,
BOLE,153,Waratah2011,BOLE_153,123,309,165,457,N/A - bn 2&3,,31,,11,,26,,,,,,,,
BOLE,154,Waratah2011,BOLE_154,237,394,360,106,2,,69,,34,,13,,,,,,,,
BOLE,155,Waratah2011,BOLE_155,252,418,168,225,1,,71,,11,,25,,,,,,,,
BOLE,156,Waratah2011,BOLE_156,218,364,315,336,1,,33,,3,,16,,,,,,,,
BOLE,157,Waratah2011,BOLE_157,146,287,165,255,2,,31,,8,,8,,2,,,,,,
BOLE,303,Wilunga2012,BOLE_303,49.67,124,26,201,1,,8,,0,,13,,4,,,,,,
BOLE,305,Wilunga2012,BOLE_305,50,266,42,322,1,,8,,0,,26,,2,,,,,,
BOLE,306,Wilunga2012,BOLE_306,76,279,50,353,1,,8,,1,,33,,,,,,,,
BOLE,307,Wilunga2012,BOLE_307,94.3,312,41,403,1,,10,,0,,40,,,,,,,,
BOLE,308,Wilunga2012,BOLE_308,88,273.67,30,151,1,,8,,0,,13,,9,,,,,,
BOLE,313,Wilunga2012,BOLE_313,78,294.3,51,331,1,,10,,3,,26.66666667,,,,,,,,
BOLE,316,Wilunga2012,BOLE_316,52,238.3,30,298,1,,6,,0,,31,,1,,,,,,
BOLE,317,Wilunga2012,BOLE_317,79,139.33,37,178,1,,8,,0,,15,,,,,,,,
BOLE,401,Basin2007,BOLE_401,105,139,90,75,2,,25,,0,18,,,,,,,,,
BOLE,402,Basin2007,BOLE_402,71,76,34,31,3,,9,,0,10,,,,,,,,,
BOLE,403,Basin2007,BOLE_403,129,156,140,42,2,,20,,0,26,,,,,"little side branches above, but last main node",,,,
BOLE,404,Basin2007,BOLE_404,95,93,70,29,2,,12,,2,7,,,,,,,,,
BOLE,405,Basin2007,BOLE_405,98,109,97,53,2,,17,,0,14,,,,,,,,,
BOLE,407,Basin2007,BOLE_407,106,112,142,55,3,,20,,4,7,,,,,,,,,
BOLE,408,Basin2007,BOLE_408,131,176,180,50,2,,41,,19,11,,,,,,,,,
BOLE,801,Waratah2003,BOLE_801,110,137,143,74,3,,6,,2,,12,,,,,,,,
BOLE,802,Waratah2003,BOLE_802,143,158,195,37,2,,21,,12,,13,,,,,,,,
BOLE,803,Waratah2003,BOLE_803,123,141,160,25,2,,17,,11,,10,,,,,,,,
BOLE,804,Waratah2003,BOLE_804,71,87,56,16,2,,12,,3,,8,,,,,,,,
BOLE,805,Waratah2003,BOLE_805,137,161,265,47,2,,23,,5,,14,,,,,,,,
BOLE,806,Waratah2003,BOLE_806,103,117,76,20,3,,10,,4,,8,,,,,,,,
BOLE,807,Waratah2003,BOLE_807,133,138,255,15,2,,21,,13,,6,,,,a branch low on stem that later became the main leader; data on several other branches higher up as well,,,,
COER,1,Basin2005,COER_001,162,221,185,50,3,427.4,22,275,37,50,,,,,,,,,
COER,3,Basin2005,COER_003,143,206,102,60,N/A,337,,182,75,60,,,,,,,,,
COER,5,Basin2005,COER_005,105,148,70,22,2,185,14,70,,22,,,,,,,,,
COER,152,Waratah2011,COER_152,179,454,146,616,1,132,,123,,616,,,,,,,,,
COER,153,Waratah2011,COER_153,101,195,30,106,1,,12,,10,106,,,,,old leaves all juvenile,,,,
COER,154,Waratah2011,COER_154,99.3,182.67,37,119,1,,15,,9,119,,,,,old leaves all juvenile,,,,
COER,156,Waratah2011,COER_156,132,229,145,176,1,125,,125,,176,,,,,,,,,
COER,157,Waratah2011,COER_157,148,2322,135,185,1,120,,110,,192,,,,,,,,,
COER,158,Waratah2011,COER_158,121,199,83,224,1,65,,44,,224,,,,,,,,,
COER,159,Waratah2011,COER_159,93.33,165,70,192,1,55,,55,,192,,,,,,,,,
COER,159b,Waratah2011,COER_159b,112,163,135,82,1,128,,70,,82,,,,,,,,,
COER,321,Wilunga2012,COER_321,72,104,8,48,1,,6,,6,48,,,,,,,,,
COER,322,Wilunga2012,COER_322,60,88.67,8,55,1,,6,,4,55,,,1,,,,,,
COER,324,Wilunga2012,COER_324,70,129,6,68,1,,6,,6,68,,,2,,,,,,
COER,327,Wilunga2012,COER_327,82,100.33,13,29,1,,8,,5,29,,,1,,,,,,
COER,401,Basin2007,COER_401,127,192,95,88,2,205,,185,,88,,,,,,,,,
COER,402,Basin2007,COER_402,102,208,82,77,2,125,2,82,18,77,,,,,,,,,
COER,403,Basin2007,COER_403,106,173,105,165,2,200,,165,,165,,,,,,,,,
COER,404,Basin2007,COER_404,128,155,132,33,2,204,,132,45,33,,,,,,,,,
COER,405,Basin2007,COER_405,161,204,165,64,2,224,,175,35,64,,,,,,,,,
COER,406,Basin2007,COER_406,114,168,122,46,2,209,,122,25,46,,,,,,,,,
COER,407,Basin2007,COER_407,120,142,63,25,NA,269,,236,,25,,,,,,,,,
COER,801,Waratah2003,COER_801,136,197,112,68,3,297,,90,,68,,,,,,,,,
COER,802,Waratah2003,COER_802,146,181,92,70,2,212,16,40,24,70,,,,,,,,,
COER,803,Waratah2003,COER_803,156,173,138,53,3,276,45,125,45,53,,,,,,,,,
COER,804,Waratah2003,COER_804,162,191,218,25,N/A - bn 3&4,385,,75,1,25,,,,,,,,,
COER,806,Waratah2003,COER_806,,,,,,,,,,,,,,,,,,,
COER,807,Waratah2003,COER_807,103,181,48,103,N/A - bn 2&3,233,2,133,,103,,,,,,,,,
EPMI,1,Basin2005,EPMI_001,89,110,140,42,2,140,,120,,42,,,,,,,,,
EPMI,2,Basin2005,EPMI_002,82,86,72,57,2,146,,118,,57,,,,,,,,,
EPMI,3,Basin2005,EPMI_003,101,113,132,97,N/A - bn 3&4,215,10,120,3,97,,,,,,,,,
EPMI,4,Basin2005,EPMI_004,65,137,80,37,N/A - bn 2&3,110,36,80,,37,,,,,,,,,
EPMI,5,Basin2005,EPMI_005,138,173,165,78,N/A - bn 2&3,265,1,125,33,78,,,,,,,,,
EPMI,6,Basin2005,EPMI_006,117,137,87,82,N/A - bn 2&3,207,21,95,,82,,,,,main stem nipped from 87 mm to 82 mm,,,,
EPMI,7,Basin2005,EPMI_007,109,,64,,,217,,124,11,,,,,,LOOK IN ENVELOPE TO FIGURE OUT END OF BRANCH INFO,,,,
EPMI,101,Waratah2011,EPMI_101,67,187,57,136,1,52,,,15,136,,,,,,,,,
EPMI,101,Waratah2011,EPMI_101,67,187,57,136,1,52,,,15,136,,,,,,,,,
EPMI,102,Waratah2011,EPMI_102,56,109,48,79,1,48,,,16,79,,,,,,,,,
EPMI,102,Waratah2011,EPMI_102,56,109,48,79,1,48,,,16,79,,,,,,,,,
EPMI,104,Waratah2011,EPMI_104,64,103.3333333,47,108,1,41,,8,,108,,,,,,,,,
EPMI,104,Waratah2011,EPMI_104,64,103.33,47,108,1,41,,8,,108,,,,,,,,,
EPMI,105,Waratah2011,EPMI_105,62,101.3333333,52,103,1,50,,37,,103,,,,,,,,,
EPMI,105,Waratah2011,EPMI_105,62,101.33,52,103,1,50,,37,,103,,,,,,,,,
EPMI,106,Waratah2011,EPMI_106,32,107.6666667,28,133,1,28,,,5,133,,,,,,,,,
EPMI,106,Waratah2011,EPMI_106,32,107.67,28,133,1,28,,0,,121,5,,,,shoot nipped at some point,,,,
EPMI,108,Waratah2011,EPMI_108,73,174,44,78,1,39,,,22,74,,,,,,,,,
EPMI,108,Waratah2011,EPMI_108,73,174,44,78,1,39,,,18,78,,,,,,,,,
EPMI,109,Waratah2011,EPMI_109,66.5,134.6666667,60,182,1,50,,35,,180,,,,,,,,,
EPMI,111,Waratah2011,EPMI_111,35,101,13,108,1,13,,0,,95,,,23,,,,,,
EPMI,112,Waratah2011,EPMI_112,35,145.6666667,35,197,1,35,,,9,197,,,,,,,,,
EPMI,113,Waratah2011,EPMI_113,53,218.6666667,42,170,1,42,,10,,170,,,,,,,,,
EPMI,116,Waratah2011,EPMI_116,27,71,35,81,1,17,,17,,81,,,,,,,,,
EPMI,151,Waratah2011,EPMI_151,80,126,92,122,2,127,,,38,122,,,,,92 mm length nipped to 80 mm and then regrew,,,,
EPMI,152,Waratah2011,EPMI_152,121,143,68,122,2,136,,30,,122,,,,,68 mm length nipped to 48 mm and then regrew,,,,
EPMI,153,Waratah2011,EPMI_153,74,146.67,141,175,1,130,,,33,175,,,,,main stem nipped from 141 mm to 110 mm,,,,
EPMI,154,Waratah2011,EPMI_154,93,145,175,78,2,155,,,0,70,,,,,,,,,
EPMI,155,Waratah2011,EPMI_155,143.33,184,298,292,1,222,,,6,267,,,,,main stem nipped from 298 mm to 270 mm,,,,
EPMI,156,Waratah2011,EPMI_156,88,142.33,183,132,1,154,,,54,132,,,,,main stem nipped from 183 mm to 175 mm,,,,
EPMI,157,Waratah2011,EPMI_157,51,133,56,152,2,266,,95,,152,,,,,,,,,
EPMI,302,Wilunga2012,EPMI_302,32,89.67,10,113,1,,12,,0,102,,,11,,,,,,
EPMI,304,Wilunga2012,EPMI_304,30,109.67,12,200,1,9,,0,,200,,,3,,,,,,
EPMI,307,Wilunga2012,EPMI_307,35,94,12,78,1,10,,0,,73,,,,,,,,,
EPMI,310,Wilunga2012,EPMI_310,41,141,20,170,1,12,,0,,230,,,,,,,,,
EPMI,311,Wilunga2012,EPMI_311,35,120.3333333,15,230,1,12,,,3,220,,,,,,,,,
EPMI,312,Wilunga2012,EPMI_312,30,70.33333333,10,95,1,9,,,,60,9,,25,,,,,,
EPMI,313,Wilunga2012,EPMI_313,30,64.33333333,10,97,1,10,,0,,79,,,,,,,,,
EPMI,314,Wilunga2012,EPMI_314,30,82.66666667,8,175,1,8,,,3,167,,,,,,,,,
EPMI,401,Basin2007,EPMI_401,98,168,108,51,2,108,46,98,,51,,,,,,,,,
EPMI,402,Basin2007,EPMI_402,131.67,174.3,161,85,1,120,,100,,85,,,,,,,,,
EPMI,403,Basin2007,EPMI_403,113,168.67,180,48,1,130,,90,,48,,,,,,,,,
EPMI,404,Basin2007,EPMI_404,102,135,83,51,2,141,,83,,51,,,,,,,,,
EPMI,405,Basin2007,EPMI_405,142.33,181.67,210,40,1,163,,95,,40,,,,,,,,,
EPMI,406,Basin2007,EPMI_406,118,134,85,26,above 3,211,20,110,1,26,,,,,top shoot nipped from 85 mm to 60 mm,,,,
EPMI,407,Basin2007,EPMI_407,107,119,85,13,3,166,,105,,13,,,,,,,,,
EPMI,801,Waratah2003,EPMI_801,99,144,55,57,4,320,,20,33,57,,,,,,,,,
EPMI,802,Waratah2003,EPMI_802,121,141,133,60,N/A - bn 3&4,248,23,60,29,60,,,,,main stem nipped from 133 to 88 mm,,,,
EPMI,803,Waratah2003,EPMI_803,87,126,71,60,2,60,4,40,,60,,,,,,,,,
EPMI,804,Waratah2003,EPMI_804,129,135,98,12,4,98,2,0,12,12,,,,,main stem nipped from 38 mm to 10 mm,,,,
EPMI,805,Waratah2003,EPMI_805,71,101,18,24,N/A - bn 3&4,92,,36,6,24,,,,,,,,,
EPMI,806,Waratah2003,EPMI_806,122,181,54,72,3,74,,,30,72,,,,,main stem nipped from 54 to 42 mm,,,,
EPMI,807,Waratah2003,EPMI_807,61,107,38,57,N/A - bn 3&4,293,,98,25,57,,,,,,,,,
EPMI,808,Waratah2003,EPMI_808,106,130,110,43,3,212,16,25,1,43,,,,,,,,,
EPMI,901,Basin1981,EPMI_901,78,101,35,96,4,243,19,37,38,96,,,,,,,,,
EPMI,902,Basin1981,EPMI_902,96,114,60,12,4,60,0,30,0,12,,,,,,,,,
EPMI,903,Basin1981,EPMI_903,121,141,127,53,N/A - bn 3&4,202,67,,113,53,,,,,,,,,
EPMI,904,Basin1981,EPMI_904,112,136,210,82,N/A - bn 4&5,260,54,145,30,82,,,,,,,,,
EPMI,905,Basin1981,EPMI_905,60,93,15,31,5,157,3,15,33,31,,,,,,,,,
EPMI,906,Basin1981,EPMI_906,158,180,255,48,N/A - bn 3&4,272,44,102,15,48,,,,,,,,,
EPMI,907,Basin1981,EPMI_907,84,82,163,0,above 4,166,5,50,,,,,,,"no growth on main stalk mapped. Have increase in diameter for side branches, no lengths or leaf counts",don't use,,,
GRBU,2,Basin2005,GRBU_002,177,239,215,80,3,83,165,,123,,63,,,,,,,,
GRBU,3,Basin2005,GRBU_003,231,485,184,232,N/A - bn 2&3,279,21,164,17,232,,,,,,,,,
GRBU,7,Basin2005,GRBU_007,129,194,83,87,3,243,,110,,,44,,,,110 mm = 52 leaves,,,,
GRBU,8,Basin2005,GRBU_008,144,225,132,136,N/A - bn 2&3,152,16,100,3,110,,,,,,,,,
GRBU,9,Basin2005,GRBU_009,99,110,55,40,N/A - above highest cut,208,3,85,2,,17,,,,85 mm = 58 leaves,,,,
GRBU,151,Waratah2011,GRBU_151,200,338,130,45,side branch,,91,,37,,21,,,,"LL along main axis, shoot extension on side branch where leaf # not known",,,,
GRBU,152,Waratah2011,GRBU_152,288,702,495,343,2,495,10,360,,263,32,,,,,,,,
GRBU,153,Waratah2011,GRBU_153,228,539,222,360,3,,156,,96,120,94,,,,bag 5x is leaf count for the 120 mm of new leaves,,,,
GRBU,156,Waratah2011,GRBU_156,153,299.5,240,172,2,240,15,160,,172,,,,,,,,,
GRBU,157,Waratah2011,GRBU_157,121,372,207,245,3,170,145,,171,245,,,,,,,,,
GRBU,305,Wilunga2012,GRBU_305,134,385.33,32,202,1,,8,,0,130,,,,,,,,,
GRBU,306,Wilunga2012,GRBU_306,201.67,568.33,198,463,1,,61,,54,463,,,,,,,,,
GRBU,307,Wilunga2012,GRBU_307,141,627,66,520,1,,15,,4,520,4,,,,,,,,
GRBU,308,Wilunga2012,GRBU_308,159,451.67,57,350,1,,15,,7,350,,,,,,,,,
GRBU,310,Wilunga2012,GRBU_310,95,426,53,540,2,,27,,4,540,,,,,,,,,
GRBU,311,Wilunga2012,GRBU_311,113,611,105,466,3,107,27,,13,,53,,5,,,,,,
GRBU,312,Wilunga2012,GRBU_312,118.33,481.67,93,472,1,,23,,10,452,,,,,,,,,
GRBU,313,Wilunga2012,GRBU_313,141.5,598.33,73,420,1,,12,,1,378,17,,5,,,,,,
GRBU,402,Basin2007,GRBU_402,131,152,96,143,3,291,,96,52,143,,,,,,,,,
GRBU,403,Basin2007,GRBU_403,117,230,95,165,3,202,,95,46,165,,,,,,,,,
GRBU,404,Basin2007,GRBU_404,86,191,50,108,3,335,,,65,,56,,,,,,,,
GRBU,405,Basin2007,GRBU_405,74,141,47,107,3,100,1,47,,107,,,,,,,,,
GRBU,406,Basin2007,GRBU_406,124,165,54,130,N/A - bn 2&3,234,,100,15,130,,,,,,,,,
GRBU,407,Basin2007,GRBU_407,108,272,90,150,3,286,2,135,1,150,,,,,,,,,
GRBU,408,Basin2007,GRBU_408,152,230,148,80,3,257,22,110,12,67,13,,,,,,,,
GRBU,801,Waratah2003,GRBU_801,141,279,124,88,3,328,44,,57,,54,,,,43 count lvs for 80 mm stems,,,,
GRBU,802,Waratah2003,GRBU_802,150,247,100,86,4,257,4,80,1,86,,,,,,,,,
GRBU,803,Waratah2003,GRBU_803,178,271,175,105,3,378,,105,9,105,,,,,,,,,
GRBU,804,Waratah2003,GRBU_804,147,330,110,71,3,110,14,28,8,71,,,,,,,,,
GRBU,805,Waratah2003,GRBU_805,140,204,82,48,3,174,51,130,,48,,,,,,,,,
GRBU,806,Waratah2003,GRBU_806,269,371,187,98,5,187,80,70,6,112,,,14,,,,,,
GRBU,807,Waratah2003,GRBU_807,167,308,122,165,3,237,52,,54,165,,,,,,,,,
GRBU,903,Basin1981,GRBU_903,95,144,55,55,4,15,,5,,55,,,,,,,,,
GRBU,904,Basin1981,GRBU_904,98,156,52,60,,147,2,,19,,39,,,,,,,,
GRBU,905,Basin1981,GRBU_905,122,159,85,65,5,115,12,85,59,65,,,,,,,,,
GRBU,906,Basin1981,GRBU_906,127,147,98,0,3,73,31,60,4,0,,,,,"marked as alive, but no real growth",don't use,,,
GRBU,907,Basin1981,GRBU_907,87,145,60,40,N/A - bn 6&7,110,41,,50,,20,,,,,,,,
GRSP,2,Basin2005,GRSP_002,174,234,138,95,3,75,22,,41,,38,,,,,,,,
GRSP,3,Basin2005,GRSP_003,145,182,150,40,N/A - bn 3&4,150,19,,6,,72,,,,,,,,
GRSP,5,Basin2005,GRSP_005,83,108,83,12,N/A,,72,,60,,15,,,,,,,,
GRSP,6,Basin2005,GRSP_006,195,287,232,192,3,232,,90,,192,,,,,282 mm leaves = #31+48+29,,,,
GRSP,7,Basin2005,GRSP_007,282,315,167,134,3,47,45,,39,,41,,,,,,,,
GRSP,9,Basin2005,GRSP_009,84,179,25,106,N/A - bn 3&4,25,133,25,82,,53,,,,293 mm leaves = 131 leaves,,,,
GRSP,101,Waratah2011,GRSP_101,143,288,98,173,1,,10,,10,,67,,,,,,,,
GRSP,102,Waratah2011,GRSP_102,141,230,100,107,1,,9,,5,,31,,,,,,,,
GRSP,103,Waratah2011,GRSP_103,106,280.67,110,213,1,,13,,2,,106,,,,,,,,
GRSP,104,Waratah2011,GRSP_104,143,341.67,97,234,1,,8,,4,,72,,,,,,,,
GRSP,105,Waratah2011,GRSP_105,171,677.33,203,364,1,,38,,33,,83,,,,,,,,
GRSP,106,Waratah2011,GRSP_106,92,443,44,576,2,,32,,17,,157,,,,,,,,
GRSP,107,Waratah2011,GRSP_107,199,797.67,193,330,1,,16,,0,,53,,7,,,,,,
GRSP,110,Waratah2011,GRSP_110,145,281,110,198,1,,14,,12,,52,,,,,,,,
GRSP,111,Waratah2011,GRSP_111,155,299.6666667,127,269,1,,15,,13,,66,,,,,,,,
GRSP,112,Waratah2011,GRSP_112,195,433.3333333,165,256,1,,37,,37,,97,,,,,,,,
GRSP,114,Waratah2011,GRSP_114,223,603.6666667,185,301,1,,39,,24,56,86,,,,205 mm = 72 leaves,,,,
GRSP,116,Waratah2011,GRSP_116,79,262,37,348,3,,50,,44,,167,,,,,,,,
GRSP,151,Waratah2011,GRSP_151,105,219,75,312,1.1.2,,79,,26,,71,,4,,,,,,
GRSP,152,Waratah2011,GRSP_152,123,254,145,106,3,,138,,48,,41,,,,,,,,
GRSP,153,Waratah2011,GRSP_153,170,315,176,67,3,,105,,56,,40,,,,,,,,
GRSP,154,Waratah2011,GRSP_154,104,188,140,83,N/A - bn 2&3,,86,,62,,28,,,,,,,,
GRSP,155,Waratah2011,GRSP_155,114,314,87,120,2,,81,,46,,63,,,,,,,,
GRSP,156,Waratah2011,GRSP_156,117,401,126,342,N/A - bn 2&3,,92,,25,,89,,,,,,,,
GRSP,157,Waratah2011,GRSP_157,97,398,135,390,4,,125,,58,,92,,,,,,,,
GRSP,301,Wilunga2012,GRSP_301,119.33,341.67,113,245,1,,13,,7,,106,,,,,,,,
GRSP,302,Wilunga2012,GRSP_302,184.33,468,168,390,1,,22,,8,,106,,15,,,,,,
GRSP,306,Wilunga2012,GRSP_306,124.67,405.67,122,420,1,,12,,11,,137,,,,,,,,
GRSP,307,Wilunga2012,GRSP_307,147,362.33,57,280,1,,9,,7,,56,,,,,,,,
GRSP,312,Wilunga2012,GRSP_312,144.33,415,117,352,1,,9,,7,,119,,,,,,,,
GRSP,314,Wilunga2012,GRSP_314,159.67,443.33,136,560,1,,17,,5,,155,,8,,,,,,
GRSP,315,Wilunga2012,GRSP_315,138.67,197,88,145,1,,6,,6,,38,,,,,,,,
GRSP,316,Wilunga2012,GRSP_316,132,482.33,80,190,1,,9,,8,,49,,,,,,,,
GRSP,401,Basin2007,GRSP_401,94,132,48,77,3,94,16,,38,,41,,,,,,,,
GRSP,402,Basin2007,GRSP_402,111,174,98,117,3,63,63,,33,,19,,,,,,,,
GRSP,403,Basin2007,GRSP_403,210,302,190,86,1.2,170,,110,,,32,,,,l=110 mm = 37 leaves,,,,
GRSP,404,Basin2007,GRSP_404,102,183,115,80,3,,61,,15,,15,,,,,,,,
GRSP,405,Basin2007,GRSP_405,85,153,23,103,3,,32,,10,,53,,,,,,,,
